ปี,ประเภททางหลวง,จำนวนช่องจราจร,ดัชนีการจราจร,ความหนาแน่นการจราจร
2014,1 หลัก,2 ช่องจราจร,0.837,16.354
2014,2 หลัก,2 ช่องจราจร,0.562,13.959
2014,3 หลัก,2 ช่องจราจร,0.507,20.167
2014,4 หลัก,2 ช่องจราจร,0.263,15.234
2014,Freeway (Motorway),2 ช่องจราจร,,
2014,1 หลัก,4 ช่องจราจร,0.427,18.333
2014,2 หลัก,4 ช่องจราจร,0.309,27.569
2014,3 หลัก,4 ช่องจราจร,0.296,24.789
2014,4 หลัก,4 ช่องจราจร,0.154,32.878
2014,Freeway (Motorway),4 ช่องจราจร,,
2014,1 หลัก,มากกว่า 4 ช่องจราจร,0.463,30.104
2014,2 หลัก,มากกว่า 4 ช่องจราจร,0.439,37.267
2014,3 หลัก,มากกว่า 4 ช่องจราจร,0.330,66.868
2014,4 หลัก,มากกว่า 4 ช่องจราจร,0.282,56.486
2014,Freeway (Motorway),มากกว่า 4 ช่องจราจร,0.934,52.275
