ปี,ประเภททางหลวง,จำนวนช่องจราจร,ดัชนีการจราจร,ความหนาแน่นการจราจร
2019,1 หลัก,2 ช่องจราจร,1.714,39.258
2019,2 หลัก,2 ช่องจราจร,0.681,10.660
2019,3 หลัก,2 ช่องจราจร,0.818,15.875
2019,4 หลัก,2 ช่องจราจร,0.601,9.714
2019,Freeway (Motorway),2 ช่องจราจร,,
2019,1 หลัก,4 ช่องจราจร,0.552,14.130
2019,2 หลัก,4 ช่องจราจร,0.382,7.413
2019,3 หลัก,4 ช่องจราจร,0.493,12.759
2019,4 หลัก,4 ช่องจราจร,0.291,6.456
2019,Freeway (Motorway),4 ช่องจราจร,1.120,42.509
2019,1 หลัก,มากกว่า 4 ช่องจราจร,0.934,29.433
2019,2 หลัก,มากกว่า 4 ช่องจราจร,1.985,43.477
2019,3 หลัก,มากกว่า 4 ช่องจราจร,0.697,22.857
2019,4 หลัก,มากกว่า 4 ช่องจราจร,0.447,11.477
2019,Freeway (Motorway),มากกว่า 4 ช่องจราจร,7.200,83.435
