ปี,ประเภททางหลวง,จำนวนช่องจราจร,ดัชนีการจราจร,ความหนาแน่นการจราจร
2017,1 หลัก,2 ช่องจราจร,1.269,25.603
2017,2 หลัก,2 ช่องจราจร,0.740,14.002
2017,3 หลัก,2 ช่องจราจร,0.809,15.357
2017,4 หลัก,2 ช่องจราจร,0.511,8.007
2017,Freeway (Motorway),2 ช่องจราจร,,
2017,1 หลัก,4 ช่องจราจร,0.559,15.257
2017,2 หลัก,4 ช่องจราจร,0.390,7.870
2017,3 หลัก,4 ช่องจราจร,0.452,11.492
2017,4 หลัก,4 ช่องจราจร,0.277,6.369
2017,Freeway (Motorway),4 ช่องจราจร,1.125,43.140
2017,1 หลัก,มากกว่า 4 ช่องจราจร,0.672,21.000
2017,2 หลัก,มากกว่า 4 ช่องจราจร,0.707,23.702
2017,3 หลัก,มากกว่า 4 ช่องจราจร,0.463,11.591
2017,4 หลัก,มากกว่า 4 ช่องจราจร,0.388,8.974
2017,Freeway (Motorway),มากกว่า 4 ช่องจราจร,1.137,39.220
