ปี,ประเภททางหลวง,จำนวนช่องจราจร,ดัชนีการจราจร,ความหนาแน่นการจราจร
2015,1 หลัก,2 ช่องจราจร,0.732,15.621
2015,2 หลัก,2 ช่องจราจร,0.717,23.167
2015,3 หลัก,2 ช่องจราจร,0.500,21.548
2015,4 หลัก,2 ช่องจราจร,0.302,18.159
2015,Freeway (Motorway),2 ช่องจราจร,,
2015,1 หลัก,4 ช่องจราจร,0.421,22.631
2015,2 หลัก,4 ช่องจราจร,0.341,31.943
2015,3 หลัก,4 ช่องจราจร,0.331,27.263
2015,4 หลัก,4 ช่องจราจร,0.163,32.199
2015,Freeway (Motorway),4 ช่องจราจร,0.965,120.453
2015,1 หลัก,มากกว่า 4 ช่องจราจร,0.531,32.872
2015,2 หลัก,มากกว่า 4 ช่องจราจร,0.490,41.901
2015,3 หลัก,มากกว่า 4 ช่องจราจร,0.333,65.699
2015,4 หลัก,มากกว่า 4 ช่องจราจร,0.277,54.820
2015,Freeway (Motorway),มากกว่า 4 ช่องจราจร,0.876,35.720
